pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.7741054,None,0,0,0,0,,,,,0.0351675,,0.0239169,0.0351675,1.0032354,1.0032354,1.0032354,1.0032354,1.0367472,2.002211,2.002211,2.7907119,x,1,0.7741054,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
150,v,1,1,0,v,1,0.2764757,None,0,1,1,1,,,,,2.8022025,,2.7910518,2.8022025,3.8014947,3.8014947,3.8014947,3.8014947,3.8014947,4.8014819,4.8014819,5.0862217,v,1,0.2764757,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
50,c,2,2,0,c,1,0.2947373,None,0,2,2,2,,,,,5.1019823,,5.0869935,5.1019823,6.1019717,6.1019717,6.1019717,6.1019717,6.1019717,7.0863631,7.0863631,7.3885711,c,1,0.2947373,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
-150,z,3,3,0,z,1,0.2533436,None,0,3,3,3,,,,,7.4028353,,7.3892747,7.4028353,8.4034407,8.4034407,8.4034407,8.4034407,8.4034407,9.4028119,9.4028119,9.6700982,z,1,0.2533436,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
-50,x,4,0,1,x,1,0.3219374,None,1,0,4,0,,,,,9.6850635,,9.6707949,9.6850635,10.684863,10.684863,10.684863,10.684863,10.684863,11.6693598,11.6693598,12.0023535,x,1,0.3219374,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
150,v,5,1,1,v,1,0.4171542,None,1,1,5,1,,,,,12.0191903,,12.0030455,12.0191903,13.003207,13.003207,13.003207,13.003207,13.0192487,14.0020943,14.0020943,14.4203395,v,1,0.4171542,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
50,c,6,2,1,c,1,0.2755797,None,1,2,6,2,,,,,14.4358746,,14.4209376,14.4358746,15.4204149,15.4204149,15.4204149,15.4204149,15.4354436,16.4338208,16.4338208,16.7180443,c,1,0.2755797,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
-150,z,7,3,1,z,1,0.2845222,None,1,3,7,3,,,,,16.7356294,,16.718726,16.7356294,17.7181912,17.7181912,17.7181912,17.7181912,17.7348095,18.7184695,18.7184695,19.0191586,z,1,0.2845222,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
-50,x,8,0,2,x,1,0.2680874,None,2,0,8,0,,,,,19.035533,,19.01983,19.035533,20.018884,20.018884,20.018884,20.018884,20.0355692,21.0185821,21.0185821,21.3007609,x,1,0.2680874,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
150,v,9,1,2,v,1,0.2153282,None,2,1,9,1,,,,,21.3169559,,21.3012604,21.3169559,22.3008714,22.3008714,22.3008714,22.3008714,22.3181583,23.3004695,23.3004695,23.5166878,v,1,0.2153282,None,,,,,651996,1,2025-10-04_10h12.46.292,sequential_learning_ task 4,,2025.1.1,59.51289882,2025-10-04 10h14.03.055573 +0530
