pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.9426115,None,0,0,0,0,,,,,0.0234725,,0.0119044,0.0234725,1.0074695,1.0074695,1.0074695,1.0074695,1.0237098,2.0069371,2.0069371,2.9592602,x,1,0.9426115,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
150,v,1,1,0,v,1,0.6894008,None,0,1,1,1,,,,,2.9727682,,2.9594799,2.9727682,3.9728221,3.9728221,3.9728221,3.9728221,3.9728221,4.9725081,4.9725081,5.6731278,v,1,0.6894008,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
50,c,2,2,0,c,1,0.6573754,None,0,2,2,2,,,,,5.68902,,5.6733453,5.68902,6.6723926,6.6723926,6.6723926,6.6723926,6.6888604,7.6728252,7.6728252,8.3396212,c,1,0.6573754,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
-150,z,3,3,0,z,1,0.4941142,None,0,3,3,3,,,,,8.3563164,,8.3399845,8.3563164,9.3390846,9.3390846,9.3390846,9.3390846,9.3559793,10.3391189,10.3391189,10.8389603,z,1,0.4941142,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
-50,x,4,0,1,x,1,0.408695,None,1,0,4,0,,,,,10.8552433,,10.8391675,10.8552433,11.8386996,11.8386996,11.8386996,11.8386996,11.855464,12.838975,12.838975,13.2556273,x,1,0.408695,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
150,v,5,1,1,v,1,0.3847184,None,1,1,5,1,,,,,13.2724114,,13.2561134,13.2724114,14.2554034,14.2554034,14.2554034,14.2554034,14.2721439,15.2552734,15.2552734,15.6558233,v,1,0.3847184,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
50,c,6,2,1,c,1,0.3370046,None,1,2,6,2,,,,,15.6719589,,15.6561311,15.6719589,16.6544975,16.6544975,16.6544975,16.6544975,16.6710622,17.6558195,17.6558195,18.0051303,c,1,0.3370046,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
-150,z,7,3,1,z,1,0.2967017,None,1,3,7,3,,,,,18.0214488,,18.0055858,18.0214488,19.0047635,19.0047635,19.0047635,19.0047635,19.0213207,20.0212832,20.0212832,20.3221199,z,1,0.2967017,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
-50,x,8,0,2,x,1,0.3421589,None,2,0,8,0,,,,,20.3380226,,20.3223049,20.3380226,21.3214121,21.3214121,21.3214121,21.3214121,21.3379487,22.337519,22.337519,22.6877933,x,1,0.3421589,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
150,v,9,1,2,v,1,0.5233376,None,2,1,9,1,,,,,22.7041971,,22.6882072,22.7041971,23.6874199,23.6874199,23.6874199,23.6874199,23.7038394,24.6873557,24.6873557,25.2212649,v,1,0.5233376,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
50,c,10,2,2,c,1,0.4871401,None,2,2,10,2,,,,,25.237202,,25.2214603,25.237202,26.2206054,26.2206054,26.2206054,26.2206054,26.2372129,27.2379664,27.2379664,27.737181,c,1,0.4871401,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
-150,z,11,3,2,z,1,1.2251906,None,2,3,11,3,,,,,27.7535258,,27.7374417,27.7535258,28.7368489,28.7368489,28.7368489,28.7368489,28.7529979,29.7365445,29.7365445,30.9705587,z,1,1.2251906,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
-50,x,12,0,3,x,1,0.3869889,None,3,0,12,0,,,,,30.9863157,,30.9707617,30.9863157,31.9862517,31.9862517,31.9862517,31.9862517,31.9862517,32.9862083,32.9862083,33.3861715,x,1,0.3869889,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
150,v,13,1,3,v,1,0.29724,None,3,1,13,1,,,,,33.4028195,,33.3863953,33.4028195,34.3860434,34.3860434,34.3860434,34.3860434,34.4023658,35.3860756,35.3860756,35.6865322,v,1,0.29724,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
50,c,14,2,3,c,1,0.4258729,None,3,2,14,2,,,,,35.7023557,,35.6867137,35.7023557,36.6855649,36.6855649,36.6855649,36.6855649,36.7021964,37.7021972,37.7021972,38.1365642,c,1,0.4258729,None,,,,,950378,1,2025-10-04_09h24.16.946,sequential_learning_ task 4,,2025.1.1,59.53181797,2025-10-04 09h24.21.063127 +0530
