thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.03333333333333333)],[np.float64(0.22037037037037038)],[1],[0],[0],[2.263606599997729],['target'],0,0,0,0,0.0205908,,5,0.0151698,0.0205908,0.0205908,0.0151866,2.2788339,[np.float64(0.03333333333333333)],[np.float64(0.22037037037037038)],[1],[0],[0],[2.263606599997729],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
1,0,1,[np.float64(-0.375)],[np.float64(-0.15833333333333333)],[1],[0],[0],[2.77987289999146],['target'],1,0,1,0,2.3013774,,10,2.2948547,2.3013774,2.3013774,0.0159398,5.0747748,[np.float64(-0.375)],[np.float64(-0.15833333333333333)],[1],[0],[0],[2.77987289999146],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
2,0,2,[np.float64(0.412962962962963)],[np.float64(-0.08333333333333333)],[1],[0],[0],[2.094963800002006],['target'],2,0,2,0,5.0891144,,5,5.0825953,5.0891144,5.0891144,0.0077283,7.1776861,[np.float64(0.412962962962963)],[np.float64(-0.08333333333333333)],[1],[0],[0],[2.094963800002006],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
3,0,3,[np.float64(-0.13703703703703704)],[np.float64(0.2675925925925926)],[1],[0],[0],[1.4951763999997638],['target'],3,0,3,0,7.2047944,,5,7.1964473,7.2047944,7.2047944,0.0185218,8.691732,[np.float64(-0.13703703703703704)],[np.float64(0.2675925925925926)],[1],[0],[0],[1.4951763999997638],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
4,0,4,[np.float64(-0.32685185185185184)],[np.float64(0.05092592592592592)],[1],[0],[0],[2.0253387999982806],['target'],4,0,4,0,8.7232853,,10,8.7167544,8.7232853,8.7232853,0.0248073,10.7422139,[np.float64(-0.32685185185185184)],[np.float64(0.05092592592592592)],[1],[0],[0],[2.0253387999982806],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
5,0,5,[np.float64(0.3351851851851852)],[np.float64(0.26296296296296295)],[1],[0],[0],[1.8430194999964442],['target'],5,0,5,0,10.7723582,,10,10.7644945,10.7723582,10.7723582,0.0220278,12.6076842,[np.float64(0.3351851851851852)],[np.float64(0.26296296296296295)],[1],[0],[0],[1.8430194999964442],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
6,0,6,[np.float64(0.19166666666666668)],[np.float64(0.05740740740740741)],[1],[0],[0],[1.7607073999970453],['target'],6,0,6,0,12.641981,,10,12.6328765,12.641981,12.641981,0.0248314,14.3937362,[np.float64(0.19166666666666668)],[np.float64(0.05740740740740741)],[1],[0],[0],[1.7607073999970453],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
7,0,7,"[np.float64(0.44074074074074077), np.float64(0.4222222222222222), np.float64(0.4222222222222222), np.float64(0.42962962962962964)]","[np.float64(0.3851851851851852), np.float64(0.39537037037037037), np.float64(0.39537037037037037), np.float64(0.4009259259259259)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.8930876000085846, 3.8705300000001444, 4.587291000003461, 5.520576800001436]","[None, None, None, 'target']",7,0,7,0,14.4254589,,10,14.4186362,14.4254589,14.4254589,0.0245718,19.9393293,"[np.float64(0.44074074074074077), np.float64(0.4222222222222222), np.float64(0.4222222222222222), np.float64(0.42962962962962964)]","[np.float64(0.3851851851851852), np.float64(0.39537037037037037), np.float64(0.39537037037037037), np.float64(0.4009259259259259)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.8930876000085846, 3.8705300000001444, 4.587291000003461, 5.520576800001436]","[None, None, None, 'target']",981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
8,0,8,[np.float64(-0.29074074074074074)],[np.float64(-0.053703703703703705)],[1],[0],[0],[1.8133311999990838],['target'],8,0,8,0,19.9678119,,10,19.960881,19.9678119,19.9678119,0.0212285,21.7743442,[np.float64(-0.29074074074074074)],[np.float64(-0.053703703703703705)],[1],[0],[0],[1.8133311999990838],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
9,0,9,[np.float64(-0.023148148148148147)],[np.float64(-0.39351851851851855)],[1],[0],[0],[1.8147500000050059],['target'],9,0,9,0,21.8159116,,10,21.8078614,21.8159116,21.8159116,0.0332078,23.6228215,[np.float64(-0.023148148148148147)],[np.float64(-0.39351851851851855)],[1],[0],[0],[1.8147500000050059],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
10,0,10,[np.float64(0.04537037037037037)],[np.float64(-0.3888888888888889)],[1],[0],[0],[1.4495216000068467],['target'],10,0,10,0,23.648616,,5,23.640893,23.648616,23.648616,0.0177223,25.0904777,[np.float64(0.04537037037037037)],[np.float64(-0.3888888888888889)],[1],[0],[0],[1.4495216000068467],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
11,0,11,[np.float64(-0.008333333333333333)],[np.float64(-0.46111111111111114)],[1],[0],[0],[1.6662466999987373],['target'],11,0,11,0,25.1157238,,5,25.1075881,25.1157238,25.1157238,0.0169761,26.773939,[np.float64(-0.008333333333333333)],[np.float64(-0.46111111111111114)],[1],[0],[0],[1.6662466999987373],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
12,0,12,[np.float64(0.20833333333333334)],[np.float64(-0.25555555555555554)],[1],[0],[0],[1.555676299991319],['target'],12,0,12,0,26.8087405,,10,26.8012707,26.8087405,26.8087405,0.0271268,28.3570459,[np.float64(0.20833333333333334)],[np.float64(-0.25555555555555554)],[1],[0],[0],[1.555676299991319],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
13,0,13,[np.float64(0.40185185185185185)],[np.float64(0.22592592592592592)],[1],[0],[0],[2.000871099997312],['target'],13,0,13,0,28.3994242,,10,28.3866163,28.3994242,28.3994242,0.0293739,30.3875916,[np.float64(0.40185185185185185)],[np.float64(0.22592592592592592)],[1],[0],[0],[2.000871099997312],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
14,0,14,[np.float64(0.1425925925925926)],[np.float64(-0.04537037037037037)],[1],[0],[0],[1.361628999991808],['target'],14,0,14,0,30.4205092,,10,30.4133148,30.4205092,30.4205092,0.0254812,31.775048,[np.float64(0.1425925925925926)],[np.float64(-0.04537037037037037)],[1],[0],[0],[1.361628999991808],['target'],981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
15,0,15,"[np.float64(-0.31666666666666665), np.float64(-0.3101851851851852)]","[np.float64(0.14629629629629629), np.float64(0.15648148148148147)]","[1, 1]","[0, 0]","[0, 0]","[1.9410468999994919, 2.9538442000048235]","[None, 'target']",15,0,15,0,31.8075129,,10,31.8002615,31.8075129,31.8075129,0.0250009,34.7542933,"[np.float64(-0.31666666666666665), np.float64(-0.3101851851851852)]","[np.float64(0.14629629629629629), np.float64(0.15648148148148147)]","[1, 1]","[0, 0]","[0, 0]","[1.9410468999994919, 2.9538442000048235]","[None, 'target']",981210,1,2025-10-02_03h38.00.805,untitled,,2025.1.1,60.0824331,2025-10-02 03h38.06.095139 +0530
