pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.9396317,None,0,0,0,0,,,,,0.0248827,,0.0140928,0.0248827,1.0098533,1.0098533,1.0098533,1.0098533,1.0253005,2.0087194,2.0087194,2.9631317,x,1,0.9396317,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
150,v,1,1,0,v,1,0.5939317,None,0,1,1,1,,,,,2.9752857,,2.9634622,2.9752857,3.9748815,3.9748815,3.9748815,3.9748815,3.9748815,4.974726,4.974726,5.5753387,v,1,0.5939317,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
50,c,2,2,0,x,0,0.5160444,None,0,2,2,2,,,,,5.5914347,,5.5756287,5.5914347,6.5747227,6.5747227,6.5747227,6.5747227,6.591437,7.5751165,7.5751165,8.0929673,x,0,0.5160444,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
-150,z,3,3,0,z,1,0.5993882,None,0,3,3,3,,,,,8.1081745,,8.0934363,8.1081745,9.1072771,9.1072771,9.1072771,9.1072771,9.1072771,10.1071498,10.1071498,10.7080233,z,1,0.5993882,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
-50,x,4,0,1,x,1,0.5707489,None,1,0,4,0,,,,,10.7244197,,10.7082409,10.7244197,11.7096505,11.7096505,11.7096505,11.7096505,11.7291894,12.7078903,12.7078903,13.2940435,x,1,0.5707489,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
150,v,5,1,1,v,1,0.5274018,None,1,1,5,1,,,,,13.3088571,,13.2947673,13.3088571,14.309886,14.309886,14.309886,14.309886,14.309886,15.3082285,15.3082285,15.8438785,v,1,0.5274018,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
50,c,6,2,1,c,1,0.3101675,None,1,2,6,2,,,,,15.8582227,,15.8446788,15.8582227,16.8577958,16.8577958,16.8577958,16.8577958,16.8577958,17.8574943,17.8574943,18.1759368,c,1,0.3101675,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
-150,z,7,3,1,z,1,0.3065656,None,1,3,7,3,,,,,18.1916533,,18.1764928,18.1916533,19.1896315,19.1896315,19.1896315,19.1896315,19.2066016,20.1922037,20.1922037,20.50857,z,1,0.3065656,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
-50,x,8,0,2,x,1,0.3008733,None,2,0,8,0,,,,,20.52467,,20.5090301,20.52467,21.5077645,21.5077645,21.5077645,21.5077645,21.5235612,22.5079006,22.5079006,22.8244932,x,1,0.3008733,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
150,v,9,1,2,v,1,0.2938181,None,2,1,9,1,,,,,22.8411212,,22.8249396,22.8411212,23.8236156,23.8236156,23.8236156,23.8236156,23.8399513,24.8235045,24.8235045,25.1250995,v,1,0.2938181,None,,,,,28543,1,2025-10-04_06h44.49.144,sequential_learning_ task 4,,2025.1.1,60.3223627,2025-10-04 06h44.56.786732 +0530
