thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.47314814814814815)],[np.float64(0.07777777777777778)],[1],[0],[0],[1.7278622000012547],['target'],0,0,0,0,0.0264221,,5,0.0180805,0.0264221,0.0264221,0.0181073,1.7460068,[np.float64(0.47314814814814815)],[np.float64(0.07777777777777778)],[1],[0],[0],[1.7278622000012547],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
1,0,1,[np.float64(-0.3388888888888889)],[np.float64(-0.06388888888888888)],[1],[0],[0],[1.6339349000045331],['target'],1,0,1,0,1.770298,,5,1.7614491,1.770298,1.770298,0.015367,3.3954354,[np.float64(-0.3388888888888889)],[np.float64(-0.06388888888888888)],[1],[0],[0],[1.6339349000045331],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
2,0,2,[np.float64(-0.3351851851851852)],[np.float64(0.4083333333333333)],[1],[0],[0],[1.4236055000073975],['target'],2,0,2,0,3.4113443,,5,3.4041754,3.4113443,3.4113443,0.0086266,4.8278458,[np.float64(-0.3351851851851852)],[np.float64(0.4083333333333333)],[1],[0],[0],[1.4236055000073975],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
3,0,3,"[np.float64(0.19166666666666668), np.float64(0.19907407407407407)]","[np.float64(0.10277777777777777), np.float64(0.09907407407407408)]","[1, 1]","[0, 0]","[0, 0]","[1.433749900010298, 2.335591500013834]","[None, 'target']",3,0,3,0,4.8528602,,10,4.8435765,4.8528602,4.8528602,0.0156299,7.1792417,"[np.float64(0.19166666666666668), np.float64(0.19907407407407407)]","[np.float64(0.10277777777777777), np.float64(0.09907407407407408)]","[1, 1]","[0, 0]","[0, 0]","[1.433749900010298, 2.335591500013834]","[None, 'target']",879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
4,0,4,[np.float64(-0.030555555555555555)],[np.float64(0.13518518518518519)],[1],[0],[0],[1.8791541000100551],['target'],4,0,4,0,7.2307856,,10,7.2160225,7.2307856,7.2307856,0.0365995,9.0952168,[np.float64(-0.030555555555555555)],[np.float64(0.13518518518518519)],[1],[0],[0],[1.8791541000100551],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
5,0,5,[np.float64(0.23981481481481481)],[np.float64(-0.20277777777777778)],[1],[0],[0],[1.6093280000059167],['target'],5,0,5,0,9.1268747,,10,9.118474,9.1268747,9.1268747,0.0230751,10.7278555,[np.float64(0.23981481481481481)],[np.float64(-0.20277777777777778)],[1],[0],[0],[1.6093280000059167],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
6,0,6,[np.float64(-0.09444444444444444)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.3735734000074444],['target'],6,0,6,0,10.744801,,5,10.738247,10.744801,10.744801,0.0102947,12.1119221,[np.float64(-0.09444444444444444)],[np.float64(-0.21666666666666667)],[1],[0],[0],[1.3735734000074444],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
7,0,7,"[np.float64(-0.25555555555555554), np.float64(-0.25092592592592594)]","[np.float64(-0.47314814814814815), np.float64(-0.47314814814814815)]","[1, 1]","[0, 0]","[0, 0]","[1.7814324999926612, 2.813717599987285]","[None, 'target']",7,0,7,0,12.1396645,,5,12.1299312,12.1396645,12.1396645,0.0178725,14.9437027,"[np.float64(-0.25555555555555554), np.float64(-0.25092592592592594)]","[np.float64(-0.47314814814814815), np.float64(-0.47314814814814815)]","[1, 1]","[0, 0]","[0, 0]","[1.7814324999926612, 2.813717599987285]","[None, 'target']",879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
8,0,8,[np.float64(-0.39537037037037037)],[np.float64(0.11481481481481481)],[1],[0],[0],[1.629510400001891],['target'],8,0,8,0,14.9737776,,10,14.9645562,14.9737776,14.9737776,0.020724,16.5941247,[np.float64(-0.39537037037037037)],[np.float64(0.11481481481481481)],[1],[0],[0],[1.629510400001891],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
9,0,9,[np.float64(-0.025)],[np.float64(-0.062037037037037036)],[1],[0],[0],[1.3879473999986658],['target'],9,0,9,0,16.6118421,,5,16.6048798,16.6118421,16.6118421,0.0106228,17.992898,[np.float64(-0.025)],[np.float64(-0.062037037037037036)],[1],[0],[0],[1.3879473999986658],['target'],879712,1,2025-10-02_04h07.12.580,untitled,,2025.1.1,60.00654071,2025-10-02 04h07.16.494982 +0530
