pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line_2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,2.0730998,None,0,0,0,0,,,,,0.032022,,0.0197493,0.032022,0.9999305,0.9999305,0.9999305,0.9999305,1.0319311,2.0005021,2.0005021,4.1546709,x,1,2.0730998,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,1,1,0,v,1,0.8275342,None,0,1,1,1,,,,,4.1633122,,4.1549163,4.1633122,5.1645641,5.1645641,5.1645641,5.1645641,5.1645641,6.1666415,6.1666415,7.0015489,v,1,0.8275342,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,2,2,0,c,1,0.6043653,None,0,2,2,2,,,,,7.0157405,,7.0022843,7.0157405,8.0160572,8.0160572,8.0160572,8.0160572,8.0160572,9.0148563,9.0148563,9.6314871,c,1,0.6043653,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,3,3,0,z,1,0.4509284,None,0,3,3,3,,,,,9.6489703,,9.6317001,9.6489703,10.6328723,10.6328723,10.6328723,10.6328723,10.649225,11.6470638,11.6470638,12.1142308,z,1,0.4509284,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,4,0,1,x,1,0.7216239,None,1,0,4,0,,,,,12.1300911,,12.1144646,12.1300911,13.1149958,13.1149958,13.1149958,13.1149958,13.1328075,14.1147027,14.1147027,14.8507928,x,1,0.7216239,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,5,1,1,v,1,0.685268,None,1,1,5,1,,,,,14.8649392,,14.851393,14.8649392,15.8656593,15.8656593,15.8656593,15.8656593,15.8656593,16.8646038,16.8646038,17.5647692,v,1,0.685268,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,6,2,1,c,1,0.5356661,None,1,2,6,2,,,,,17.5822549,,17.5653697,17.5822549,18.5656393,18.5656393,18.5656393,18.5656393,18.5813858,19.5655129,19.5655129,20.1157182,c,1,0.5356661,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,7,3,1,z,1,0.5518407,None,1,3,7,3,,,,,20.1324879,,20.1165393,20.1324879,21.1318262,21.1318262,21.1318262,21.1318262,21.1318262,22.1319041,22.1319041,22.6975563,z,1,0.5518407,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,8,0,2,x,1,0.6335308,None,2,0,8,0,,,,,22.7146747,,22.6981176,22.7146747,23.6984761,23.6984761,23.6984761,23.6984761,23.7147701,24.6980854,24.6980854,25.3465118,x,1,0.6335308,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,9,1,2,v,1,0.3964748,None,2,1,9,1,,,,,25.3626046,,25.3469095,25.3626046,26.3476837,26.3476837,26.3476837,26.3476837,26.3641454,27.3461331,27.3461331,27.7480066,v,1,0.3964748,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,10,2,2,c,1,0.4230139,None,2,2,10,2,,,,,27.7635383,,27.7485522,27.7635383,28.7474518,28.7474518,28.7474518,28.7474518,28.7641314,29.7630067,29.7630067,30.1970602,c,1,0.4230139,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,11,3,2,z,1,0.3216276,None,2,3,11,3,,,,,30.2135012,,30.1975828,30.2135012,31.1962197,31.1962197,31.1962197,31.1962197,31.2135907,32.1961745,32.1961745,32.5324361,z,1,0.3216276,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,12,0,3,x,1,0.2988267,None,3,0,12,0,,,,,32.5451197,,32.5330319,32.5451197,33.546626,33.546626,33.546626,33.546626,33.546626,34.5461773,34.5461773,34.8475136,x,1,0.2988267,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,13,1,3,v,1,1.4656442,None,3,1,13,1,,,,,34.863167,,34.8483072,34.863167,35.8625277,35.8625277,35.8625277,35.8625277,35.8625277,36.862678,36.862678,38.3312748,v,1,1.4656442,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,14,2,3,c,1,0.3926051,None,3,2,14,2,,,,,38.3454544,,38.3318676,38.3454544,39.3459694,39.3459694,39.3459694,39.3459694,39.3459694,40.3449257,40.3449257,40.7459177,c,1,0.3926051,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,15,3,3,z,1,0.3074123,None,3,3,15,3,,,,,40.7627388,,40.7464979,40.7627388,41.7463026,41.7463026,41.7463026,41.7463026,41.7617472,42.7460664,42.7460664,43.0620736,z,1,0.3074123,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,16,0,4,x,1,0.3116969,None,4,0,16,0,,,,,43.0782777,,43.0627047,43.0782777,44.0628967,44.0628967,44.0628967,44.0628967,44.0777081,45.0759428,45.0759428,45.3962389,x,1,0.3116969,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,17,1,4,v,1,0.8623868,None,4,1,17,1,,,,,45.4119624,,45.3969991,45.4119624,46.4112152,46.4112152,46.4112152,46.4112152,46.4112152,47.4105823,47.4105823,48.2790489,v,1,0.8623868,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,18,2,4,c,1,0.2939228,None,4,2,18,2,,,,,48.2939797,,48.2796902,48.2939797,49.277451,49.277451,49.277451,49.277451,49.2955679,50.294758,50.294758,50.5968642,c,1,0.2939228,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,19,3,4,z,1,0.6441817,None,4,3,19,3,,,,,50.6091641,,50.5974248,50.6091641,51.6106008,51.6106008,51.6106008,51.6106008,51.6106008,52.6117014,52.6117014,53.2600289,z,1,0.6441817,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,20,0,5,x,1,0.3064363,None,5,0,20,0,,,,,53.2767895,,53.2604728,53.2767895,54.2613105,54.2613105,54.2613105,54.2613105,54.276253,55.2606294,55.2606294,55.5764718,x,1,0.3064363,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,21,1,5,v,1,0.6896256,None,5,1,21,1,,,,,55.5935505,,55.5771993,55.5935505,56.5763458,56.5763458,56.5763458,56.5763458,56.5934861,57.5765294,57.5765294,58.274854,v,1,0.6896256,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,22,2,5,c,1,0.3233308,None,5,2,22,2,,,,,58.2926285,,58.2751785,58.2926285,59.2757827,59.2757827,59.2757827,59.2757827,59.2934467,60.2759728,60.2759728,60.6103031,c,1,0.3233308,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,23,3,5,z,1,0.7566431,None,5,3,23,3,,,,,60.6250554,,60.6112104,60.6250554,61.6080035,61.6080035,61.6080035,61.6080035,61.6260457,62.6259188,62.6259188,63.3929702,z,1,0.7566431,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,24,0,6,x,1,0.3996814,None,6,0,24,0,,,,,63.408415,,63.3935684,63.408415,64.4088359,64.4088359,64.4088359,64.4088359,64.4088359,65.3932034,65.3932034,65.7940807,x,1,0.3996814,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,25,1,6,v,1,0.8459089,None,6,1,25,1,,,,,65.8084688,,65.7946641,65.8084688,66.8061428,66.8061428,66.8061428,66.8061428,66.8235327,67.8081716,67.8081716,68.6634333,v,1,0.8459089,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,26,2,6,c,1,0.6173947,None,6,2,26,2,,,,,68.6744631,,68.6640894,68.6744631,69.6745785,69.6745785,69.6745785,69.6745785,69.6745785,70.6747354,70.6747354,71.2932446,c,1,0.6173947,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-150,z,27,3,6,z,1,0.5868596,None,6,3,27,3,,,,,71.3077338,,71.2938507,71.3077338,72.3081077,72.3081077,72.3081077,72.3081077,72.3081077,73.3067054,73.3067054,73.9075395,z,1,0.5868596,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
-50,x,28,0,7,x,1,0.3527855,None,7,0,28,0,,,,,73.9245446,,73.9080706,73.9245446,74.9074788,74.9074788,74.9074788,74.9074788,74.9235344,75.9071279,75.9071279,76.2753208,x,1,0.3527855,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
150,v,29,1,7,v,1,0.5440688,None,7,1,29,1,,,,,76.2908582,,76.2760156,76.2908582,77.2737898,77.2737898,77.2737898,77.2737898,77.2895616,78.2904078,78.2904078,78.8404097,v,1,0.5440688,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
50,c,30,2,7,c,1,0.5091714,None,7,2,30,2,,,,,78.8570465,,78.8410237,78.8570465,79.8412219,79.8412219,79.8412219,79.8412219,79.8564654,80.8401473,80.8401473,81.3573047,c,1,0.5091714,None,,,,,839906,1,2025-10-04_06h23.32.597,sequential_learning_ task 4,,2025.1.1,60.11378336,2025-10-04 06h23.37.850465 +0530
