thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.4925925925925926)],[np.float64(-0.07592592592592592)],[1],[0],[0],[1.7232354000007035],['target'],0,0,0,0,0.0289843,,5,0.0190932,0.0289843,0.0289843,0.0191205,1.7423928,[np.float64(0.4925925925925926)],[np.float64(-0.07592592592592592)],[1],[0],[0],[1.7232354000007035],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
1,0,1,[np.float64(-0.23055555555555557)],[np.float64(-0.48518518518518516)],[1],[0],[0],[3.2228456000011647],['target'],1,0,1,0,1.7582693,,5,1.7517776,1.7582693,1.7582693,0.0092612,4.9746859,[np.float64(-0.23055555555555557)],[np.float64(-0.48518518518518516)],[1],[0],[0],[3.2228456000011647],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
2,0,2,[np.float64(0.21851851851851853)],[np.float64(0.4361111111111111)],[1],[0],[0],[3.0563783000106923],['target'],2,0,2,0,4.9899953,,5,4.9845363,4.9899953,4.9899953,0.0097729,8.0409756,[np.float64(0.21851851851851853)],[np.float64(0.4361111111111111)],[1],[0],[0],[3.0563783000106923],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
3,0,3,"[np.float64(0.36018518518518516), np.float64(0.37037037037037035)]","[np.float64(-0.175), np.float64(-0.1824074074074074)]","[1, 1]","[0, 0]","[0, 0]","[3.8393465999979526, 10.572114499998861]","[None, 'target']",3,0,3,0,8.0575316,,5,8.0511558,8.0575316,8.0575316,0.0100531,18.6234623,"[np.float64(0.36018518518518516), np.float64(0.37037037037037035)]","[np.float64(-0.175), np.float64(-0.1824074074074074)]","[1, 1]","[0, 0]","[0, 0]","[3.8393465999979526, 10.572114499998861]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
4,0,4,[np.float64(0.1)],[np.float64(0.4546296296296296)],[1],[0],[0],[3.4685446999937994],['target'],4,0,4,0,18.661584,,10,18.6539557,18.661584,18.661584,0.0300814,22.1226031,[np.float64(0.1)],[np.float64(0.4546296296296296)],[1],[0],[0],[3.4685446999937994],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
5,0,5,[np.float64(0.43148148148148147)],[np.float64(0.17962962962962964)],[1],[0],[0],[5.493073000005097],['target'],5,0,5,0,22.1569225,,10,22.1474888,22.1569225,22.1569225,0.0247011,27.6406795,[np.float64(0.43148148148148147)],[np.float64(0.17962962962962964)],[1],[0],[0],[5.493073000005097],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
6,0,6,[np.float64(0.4666666666666667)],[np.float64(-0.3194444444444444)],[1],[0],[0],[2.057388400004129],['target'],6,0,6,0,27.6715085,,10,27.6643645,27.6715085,27.6715085,0.0233887,29.7218385,[np.float64(0.4666666666666667)],[np.float64(-0.3194444444444444)],[1],[0],[0],[2.057388400004129],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
7,0,7,"[np.float64(0.4666666666666667), np.float64(0.13425925925925927)]","[np.float64(-0.3194444444444444), np.float64(0.06111111111111111)]","[1, 1]","[0, 0]","[0, 0]","[0.29864439999801107, 1.851368800009368]","[None, 'target']",7,0,7,0,29.7496732,,10,29.7393077,29.7496732,29.7496732,0.0173098,31.5908297,"[np.float64(0.4666666666666667), np.float64(0.13425925925925927)]","[np.float64(-0.3194444444444444), np.float64(0.06111111111111111)]","[1, 1]","[0, 0]","[0, 0]","[0.29864439999801107, 1.851368800009368]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
8,0,8,[np.float64(0.24074074074074073)],[np.float64(-0.35555555555555557)],[1],[0],[0],[2.4832207999861566],['target'],8,0,8,0,31.6276429,,10,31.6205894,31.6276429,31.6276429,0.0293993,34.1038523,[np.float64(0.24074074074074073)],[np.float64(-0.35555555555555557)],[1],[0],[0],[2.4832207999861566],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
9,0,9,[np.float64(-0.3453703703703704)],[np.float64(-0.12777777777777777)],[1],[0],[0],[2.1406101000029594],['target'],9,0,9,0,34.1228457,,5,34.1152989,34.1228457,34.1228457,0.0113712,36.2560084,[np.float64(-0.3453703703703704)],[np.float64(-0.12777777777777777)],[1],[0],[0],[2.1406101000029594],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
