thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
10,0,10,[np.float64(-0.06018518518518518)],[np.float64(0.003703703703703704)],[1],[0],[0],[1.5168902000004891],['target'],10,0,10,0,36.2946122,,10,36.2868496,36.2946122,36.2946122,0.0306482,37.8037787,[np.float64(-0.06018518518518518)],[np.float64(0.003703703703703704)],[1],[0],[0],[1.5168902000004891],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
11,0,11,"[np.float64(-0.02962962962962963), np.float64(-0.023148148148148147)]","[np.float64(-0.3055555555555556), np.float64(-0.30185185185185187)]","[1, 1]","[0, 0]","[0, 0]","[1.381252700011828, 2.3643397000123514]","[None, 'target']",11,0,11,0,37.8328578,,10,37.8228279,37.8328578,37.8328578,0.0189678,40.1872591,"[np.float64(-0.02962962962962963), np.float64(-0.023148148148148147)]","[np.float64(-0.3055555555555556), np.float64(-0.30185185185185187)]","[1, 1]","[0, 0]","[0, 0]","[1.381252700011828, 2.3643397000123514]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
12,0,12,"[np.float64(0.13148148148148148), np.float64(0.1388888888888889)]","[np.float64(-0.26296296296296295), np.float64(-0.26296296296296295)]","[1, 1]","[0, 0]","[0, 0]","[1.5996821000007913, 2.34843600000022]","[None, 'target']",12,0,12,0,40.2303163,,10,40.2211485,40.2303163,40.2303163,0.0336395,42.5697123,"[np.float64(0.13148148148148148), np.float64(0.1388888888888889)]","[np.float64(-0.26296296296296295), np.float64(-0.26296296296296295)]","[1, 1]","[0, 0]","[0, 0]","[1.5996821000007913, 2.34843600000022]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
13,0,13,[np.float64(-0.22777777777777777)],[np.float64(-0.2388888888888889)],[1],[0],[0],[1.9986370999977225],['target'],13,0,13,0,42.5963624,,5,42.5891669,42.5963624,42.5963624,0.0191226,44.5879037,[np.float64(-0.22777777777777777)],[np.float64(-0.2388888888888889)],[1],[0],[0],[1.9986370999977225],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
14,0,14,[np.float64(-0.2)],[np.float64(-0.11388888888888889)],[1],[0],[0],[1.0966674999945099],['target'],14,0,14,0,44.6141829,,5,44.6060205,44.6141829,44.6141829,0.017931,45.702758,[np.float64(-0.2)],[np.float64(-0.11388888888888889)],[1],[0],[0],[1.0966674999945099],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
15,0,15,[np.float64(-0.3814814814814815)],[np.float64(0.34814814814814815)],[1],[0],[0],[1.9626769999886164],['target'],15,0,15,0,45.7344955,,10,45.7242384,45.7344955,45.7344955,0.0213871,47.6871216,[np.float64(-0.3814814814814815)],[np.float64(0.34814814814814815)],[1],[0],[0],[1.9626769999886164],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
16,0,16,"[np.float64(0.24537037037037038), np.float64(0.25)]","[np.float64(0.17592592592592593), np.float64(0.17592592592592593)]","[1, 1]","[0, 0]","[0, 0]","[1.6235771999927238, 2.474014999999781]","[None, 'target']",16,0,16,0,47.7224312,,10,47.7151143,47.7224312,47.7224312,0.0274057,50.1892652,"[np.float64(0.24537037037037038), np.float64(0.25)]","[np.float64(0.17592592592592593), np.float64(0.17592592592592593)]","[1, 1]","[0, 0]","[0, 0]","[1.6235771999927238, 2.474014999999781]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
17,0,17,[np.float64(0.22685185185185186)],[np.float64(0.4722222222222222)],[1],[0],[0],[3.1632765000103973],['target'],17,0,17,0,50.2335493,,10,50.2215183,50.2335493,50.2335493,0.0319462,53.3848582,[np.float64(0.22685185185185186)],[np.float64(0.4722222222222222)],[1],[0],[0],[3.1632765000103973],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
18,0,18,[np.float64(-0.14722222222222223)],[np.float64(-0.06296296296296296)],[1],[0],[0],[1.9167051999975229],['target'],18,0,18,0,53.4111632,,10,53.4026994,53.4111632,53.4111632,0.0176879,55.3195753,[np.float64(-0.14722222222222223)],[np.float64(-0.06296296296296296)],[1],[0],[0],[1.9167051999975229],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
19,0,19,[np.float64(-0.34814814814814815)],[np.float64(-0.014814814814814815)],[1],[0],[0],[1.7021801000082633],['target'],19,0,19,0,55.3591575,,10,55.3512977,55.3591575,55.3591575,0.0313593,57.0535979,[np.float64(-0.34814814814814815)],[np.float64(-0.014814814814814815)],[1],[0],[0],[1.7021801000082633],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
20,0,20,[np.float64(0.22685185185185186)],[np.float64(-0.10092592592592593)],[1],[0],[0],[1.8661717000068165],['target'],20,0,20,0,57.0781248,,5,57.0707445,57.0781248,57.0781248,0.016828,58.9370648,[np.float64(0.22685185185185186)],[np.float64(-0.10092592592592593)],[1],[0],[0],[1.8661717000068165],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
21,0,21,[np.float64(0.46296296296296297)],[np.float64(0.42407407407407405)],[1],[0],[0],[3.1184791999985464],['target'],21,0,21,0,58.9762757,,10,58.9679465,58.9762757,58.9762757,0.0306424,62.0865396,[np.float64(0.46296296296296297)],[np.float64(0.42407407407407405)],[1],[0],[0],[3.1184791999985464],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
22,0,22,[np.float64(-0.11203703703703703)],[np.float64(-0.09814814814814815)],[1],[0],[0],[1.963145000001532],['target'],22,0,22,0,62.1115166,,5,62.1040227,62.1115166,62.1115166,0.0172302,64.0672671,[np.float64(-0.11203703703703703)],[np.float64(-0.09814814814814815)],[1],[0],[0],[1.963145000001532],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
23,0,23,"[np.float64(-0.18611111111111112), np.float64(-0.18425925925925926)]","[np.float64(0.3685185185185185), np.float64(0.37777777777777777)]","[1, 1]","[0, 0]","[0, 0]","[1.5776869999972405, 2.4606841999921016]","[None, 'target']",23,0,23,0,64.0974788,,5,64.0898789,64.0974788,64.0974788,0.022435,66.5506551,"[np.float64(-0.18611111111111112), np.float64(-0.18425925925925926)]","[np.float64(0.3685185185185185), np.float64(0.37777777777777777)]","[1, 1]","[0, 0]","[0, 0]","[1.5776869999972405, 2.4606841999921016]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
24,0,24,"[np.float64(0.2972222222222222), np.float64(0.30925925925925923)]","[np.float64(0.11018518518518519), np.float64(0.1)]","[1, 1]","[0, 0]","[0, 0]","[1.7778558999998495, 2.6267700999887893]","[None, 'target']",24,0,24,0,66.581505,,10,66.5743842,66.581505,66.581505,0.0235258,69.2012706,"[np.float64(0.2972222222222222), np.float64(0.30925925925925923)]","[np.float64(0.11018518518518519), np.float64(0.1)]","[1, 1]","[0, 0]","[0, 0]","[1.7778558999998495, 2.6267700999887893]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
25,0,25,[np.float64(0.37592592592592594)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.8489159000018844],['target'],25,0,25,0,69.2248779,,5,69.2186879,69.2248779,69.2248779,0.0171478,71.0677654,[np.float64(0.37592592592592594)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.8489159000018844],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
26,0,26,[np.float64(-0.4148148148148148)],[np.float64(0.14814814814814814)],[1],[0],[0],[1.6972769999993034],['target'],26,0,26,0,71.0929249,,5,71.0851373,71.0929249,71.0929249,0.0171263,72.7825237,[np.float64(-0.4148148148148148)],[np.float64(0.14814814814814814)],[1],[0],[0],[1.6972769999993034],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
27,0,27,[np.float64(-0.07592592592592592)],[np.float64(0.38333333333333336)],[1],[0],[0],[2.3330254000029527],['target'],27,0,27,0,72.8070945,,5,72.800981,72.8070945,72.8070945,0.0182639,75.1341347,[np.float64(-0.07592592592592592)],[np.float64(0.38333333333333336)],[1],[0],[0],[2.3330254000029527],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
28,0,28,[np.float64(0.049074074074074076)],[np.float64(0.058333333333333334)],[1],[0],[0],[1.7869303000043146],['target'],28,0,28,0,75.1714024,,10,75.1646322,75.1714024,75.1714024,0.0302201,76.9516816,[np.float64(0.049074074074074076)],[np.float64(0.058333333333333334)],[1],[0],[0],[1.7869303000043146],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
29,0,29,[np.float64(-0.18796296296296297)],[np.float64(-0.1287037037037037)],[1],[0],[0],[1.4827382999937981],['target'],29,0,29,0,76.975783,,5,76.9684664,76.975783,76.975783,0.0165481,78.4513168,[np.float64(-0.18796296296296297)],[np.float64(-0.1287037037037037)],[1],[0],[0],[1.4827382999937981],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
30,0,30,[np.float64(0.20555555555555555)],[np.float64(-0.29444444444444445)],[1],[0],[0],[1.548514999987674],['target'],30,0,30,0,78.4762242,,5,78.4680522,78.4762242,78.4762242,0.016479,80.0166552,[np.float64(0.20555555555555555)],[np.float64(-0.29444444444444445)],[1],[0],[0],[1.548514999987674],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
31,0,31,[np.float64(-0.1574074074074074)],[np.float64(-0.3175925925925926)],[1],[0],[0],[1.4210871000104817],['target'],31,0,31,0,80.0598426,,10,80.0469218,80.0598426,80.0598426,0.0300853,81.4681751,[np.float64(-0.1574074074074074)],[np.float64(-0.3175925925925926)],[1],[0],[0],[1.4210871000104817],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
32,0,32,[np.float64(-0.26851851851851855)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.662519000004977],['target'],32,0,32,0,81.4921701,,5,81.4865034,81.4921701,81.4921701,0.0179004,83.1491227,[np.float64(-0.26851851851851855)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.662519000004977],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
33,0,33,[np.float64(-0.15925925925925927)],[np.float64(0.4064814814814815)],[1],[0],[0],[1.0498642000020482],['target'],33,0,33,0,83.1899461,,10,83.1820696,83.1899461,83.1899461,0.0327678,84.2321049,[np.float64(-0.15925925925925927)],[np.float64(0.4064814814814815)],[1],[0],[0],[1.0498642000020482],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
34,0,34,[np.float64(-0.10925925925925926)],[np.float64(-0.2712962962962963)],[1],[0],[0],[1.6161322999978438],['target'],34,0,34,0,84.2589147,,5,84.2512181,84.2589147,84.2589147,0.0187469,85.8675042,[np.float64(-0.10925925925925926)],[np.float64(-0.2712962962962963)],[1],[0],[0],[1.6161322999978438],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
35,0,35,[np.float64(-0.21851851851851853)],[np.float64(0.05555555555555555)],[1],[0],[0],[1.53142869999283],['target'],35,0,35,0,85.8918532,,5,85.8841836,85.8918532,85.8918532,0.0164349,87.4157356,[np.float64(-0.21851851851851853)],[np.float64(0.05555555555555555)],[1],[0],[0],[1.53142869999283],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
36,0,36,[np.float64(0.1962962962962963)],[np.float64(0.3990740740740741)],[1],[0],[0],[1.5670400000090012],['target'],36,0,36,0,87.4554503,,10,87.446527,87.4554503,87.4554503,0.0306133,89.0136054,[np.float64(0.1962962962962963)],[np.float64(0.3990740740740741)],[1],[0],[0],[1.5670400000090012],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
37,0,37,[np.float64(-0.35)],[np.float64(-0.2777777777777778)],[1],[0],[0],[2.0216938000085065],['target'],37,0,37,0,89.0348787,,5,89.0271181,89.0348787,89.0348787,0.0134247,91.048931,[np.float64(-0.35)],[np.float64(-0.2777777777777778)],[1],[0],[0],[2.0216938000085065],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
38,0,38,[np.float64(0.44537037037037036)],[np.float64(0.062037037037037036)],[1],[0],[0],[2.224337400009972],['target'],38,0,38,0,91.0815455,,10,91.073005,91.0815455,91.0815455,0.0238188,93.2974376,[np.float64(0.44537037037037036)],[np.float64(0.062037037037037036)],[1],[0],[0],[2.224337400009972],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
39,0,39,"[np.float64(-0.007407407407407408), np.float64(-0.000925925925925926)]","[np.float64(-0.21296296296296297), np.float64(-0.22592592592592592)]","[1, 1]","[0, 0]","[0, 0]","[1.5525871999998344, 2.2700447000097483]","[None, 'target']",39,0,39,0,93.3397855,,10,93.3281109,93.3397855,93.3397855,0.0304634,95.5983134,"[np.float64(-0.007407407407407408), np.float64(-0.000925925925925926)]","[np.float64(-0.21296296296296297), np.float64(-0.22592592592592592)]","[1, 1]","[0, 0]","[0, 0]","[1.5525871999998344, 2.2700447000097483]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
40,0,40,[np.float64(0.2972222222222222)],[np.float64(-0.31203703703703706)],[1],[0],[0],[1.5730699999985518],['target'],40,0,40,0,95.6309607,,10,95.6237081,95.6309607,95.6309607,0.0248793,97.1969453,[np.float64(0.2972222222222222)],[np.float64(-0.31203703703703706)],[1],[0],[0],[1.5730699999985518],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
41,0,41,[np.float64(-0.48703703703703705)],[np.float64(-0.20277777777777778)],[1],[0],[0],[2.1199886000104016],['target'],41,0,41,0,97.2345993,,10,97.22779,97.2345993,97.2345993,0.0304645,99.3479053,[np.float64(-0.48703703703703705)],[np.float64(-0.20277777777777778)],[1],[0],[0],[2.1199886000104016],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
42,0,42,[np.float64(-0.3287037037037037)],[np.float64(0.175)],[1],[0],[0],[1.3904930999997305],['target'],42,0,42,0,99.3810657,,10,99.3740168,99.3810657,99.3810657,0.025826,100.7646385,[np.float64(-0.3287037037037037)],[np.float64(0.175)],[1],[0],[0],[1.3904930999997305],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
43,0,43,"[np.float64(-0.29259259259259257), np.float64(-0.3101851851851852)]","[np.float64(0.15185185185185185), np.float64(0.1638888888888889)]","[1, 1]","[0, 0]","[0, 0]","[1.7637085000023944, 2.4138110999920173]","[None, 'target']",43,0,43,0,100.7891248,,5,100.7827244,100.7891248,100.7891248,0.0177855,103.1966512,"[np.float64(-0.29259259259259257), np.float64(-0.3101851851851852)]","[np.float64(0.15185185185185185), np.float64(0.1638888888888889)]","[1, 1]","[0, 0]","[0, 0]","[1.7637085000023944, 2.4138110999920173]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
44,0,44,[np.float64(-0.11388888888888889)],[np.float64(0.007407407407407408)],[1],[0],[0],[1.1357516000134638],['target'],44,0,44,0,103.2359216,,10,103.2283979,103.2359216,103.2359216,0.0315056,104.3642868,[np.float64(-0.11388888888888889)],[np.float64(0.007407407407407408)],[1],[0],[0],[1.1357516000134638],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
45,0,45,[np.float64(0.10277777777777777)],[np.float64(-0.04814814814814815)],[1],[0],[0],[1.4418236999918008],['target'],45,0,45,0,104.3962035,,10,104.3889021,104.3962035,104.3962035,0.0242272,105.8308667,[np.float64(0.10277777777777777)],[np.float64(-0.04814814814814815)],[1],[0],[0],[1.4418236999918008],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
46,0,46,"[np.float64(-0.4740740740740741), np.float64(-0.4703703703703704)]","[np.float64(-0.23055555555555557), np.float64(-0.28055555555555556)]","[1, 1]","[0, 0]","[0, 0]","[2.9222649000003003, 3.6540101999999024]","[None, 'target']",46,0,46,0,105.865721,,10,105.8586359,105.865721,105.865721,0.0274822,109.5128373,"[np.float64(-0.4740740740740741), np.float64(-0.4703703703703704)]","[np.float64(-0.23055555555555557), np.float64(-0.28055555555555556)]","[1, 1]","[0, 0]","[0, 0]","[2.9222649000003003, 3.6540101999999024]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
47,0,47,[np.float64(-0.30462962962962964)],[np.float64(-0.4388888888888889)],[1],[0],[0],[1.2066179000103148],['target'],47,0,47,0,109.5477779,,10,109.5398031,109.5477779,109.5477779,0.0265845,110.746568,[np.float64(-0.30462962962962964)],[np.float64(-0.4388888888888889)],[1],[0],[0],[1.2066179000103148],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
48,0,48,[np.float64(0.17314814814814813)],[np.float64(-0.3287037037037037)],[1],[0],[0],[1.7317513000016334],['target'],48,0,48,0,110.7714174,,5,110.7630769,110.7714174,110.7714174,0.016265,112.4949346,[np.float64(0.17314814814814813)],[np.float64(-0.3287037037037037)],[1],[0],[0],[1.7317513000016334],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
49,0,49,"[np.float64(0.10925925925925926), np.float64(0.10648148148148148)]","[np.float64(0.05555555555555555), np.float64(0.07222222222222222)]","[1, 1]","[0, 0]","[0, 0]","[0.9535994000034407, 1.6843489000020782]","[None, 'target']",49,0,49,0,112.5159124,,5,112.5092963,112.5159124,112.5159124,0.0141773,114.1936847,"[np.float64(0.10925925925925926), np.float64(0.10648148148148148)]","[np.float64(0.05555555555555555), np.float64(0.07222222222222222)]","[1, 1]","[0, 0]","[0, 0]","[0.9535994000034407, 1.6843489000020782]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
50,0,50,[np.float64(0.17222222222222222)],[np.float64(0.3416666666666667)],[1],[0],[0],[1.3950049999984913],['target'],50,0,50,0,114.2090892,,5,114.2013133,114.2090892,114.2090892,0.0075408,115.5964531,[np.float64(0.17222222222222222)],[np.float64(0.3416666666666667)],[1],[0],[0],[1.3950049999984913],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
51,0,51,[np.float64(0.2916666666666667)],[np.float64(-0.125)],[1],[0],[0],[1.7511894999915967],['target'],51,0,51,0,115.6361577,,10,115.6282148,115.6361577,115.6361577,0.0315355,117.3795523,[np.float64(0.2916666666666667)],[np.float64(-0.125)],[1],[0],[0],[1.7511894999915967],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
52,0,52,[np.float64(-0.4)],[np.float64(-0.05)],[1],[0],[0],[1.649129900004482],['target'],52,0,52,0,117.4025702,,5,117.3964296,117.4025702,117.4025702,0.0165737,119.0456837,[np.float64(-0.4)],[np.float64(-0.05)],[1],[0],[0],[1.649129900004482],['target'],986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
53,0,53,"[np.float64(0.2574074074074074), np.float64(0.2601851851851852)]","[np.float64(0.000925925925925926), np.float64(-0.003703703703703704)]","[1, 1]","[0, 0]","[0, 0]","[2.182376899989322, 2.94713449999108]","[None, 'target']",53,0,53,0,119.0718224,,5,119.0636015,119.0718224,119.0718224,0.0176981,122.010835,"[np.float64(0.2574074074074074), np.float64(0.2601851851851852)]","[np.float64(0.000925925925925926), np.float64(-0.003703703703703704)]","[1, 1]","[0, 0]","[0, 0]","[2.182376899989322, 2.94713449999108]","[None, 'target']",986505,1,2025-10-02_04h23.50.013,untitled,,2025.1.1,59.96925976,2025-10-02 04h23.54.737019 +0530
