thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.046296296296296294)],[np.float64(-0.25925925925925924)],[1],[0],[0],[1.4707775999995647],['target'],0,0,0,0,0.0467831,,10,0.0323099,0.0467831,0.0467831,0.0323366,1.5031556,[np.float64(-0.046296296296296294)],[np.float64(-0.25925925925925924)],[1],[0],[0],[1.4707775999995647],['target'],610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
1,0,1,"[np.float64(-0.16666666666666666), np.float64(-0.17777777777777778)]","[np.float64(-0.21851851851851853), np.float64(-0.21203703703703702)]","[1, 1]","[0, 0]","[0, 0]","[1.2356616000033682, 2.1671709999936866]","[None, 'target']",1,0,1,0,1.5470354,,10,1.5340133,1.5470354,1.5470354,0.0307501,3.7012272,"[np.float64(-0.16666666666666666), np.float64(-0.17777777777777778)]","[np.float64(-0.21851851851851853), np.float64(-0.21203703703703702)]","[1, 1]","[0, 0]","[0, 0]","[1.2356616000033682, 2.1671709999936866]","[None, 'target']",610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
2,0,2,[np.float64(-0.2212962962962963)],[np.float64(0.39351851851851855)],[1],[0],[0],[1.5166535999887856],['target'],2,0,2,0,3.7250588,,10,3.7179316,3.7250588,3.7250588,0.0165453,5.2346483,[np.float64(-0.2212962962962963)],[np.float64(0.39351851851851855)],[1],[0],[0],[1.5166535999887856],['target'],610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
3,0,3,"[np.float64(-0.2361111111111111), np.float64(-0.22685185185185186)]","[np.float64(0.1925925925925926), np.float64(0.18055555555555555)]","[1, 1]","[0, 0]","[0, 0]","[1.1079944000084652, 1.907779400004074]","[None, 'target']",3,0,3,0,5.2502813,,5,5.2437517,5.2502813,5.2502813,0.0089636,7.151612,"[np.float64(-0.2361111111111111), np.float64(-0.22685185185185186)]","[np.float64(0.1925925925925926), np.float64(0.18055555555555555)]","[1, 1]","[0, 0]","[0, 0]","[1.1079944000084652, 1.907779400004074]","[None, 'target']",610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
4,0,4,[np.float64(0.10462962962962963)],[np.float64(-0.4351851851851852)],[1],[0],[0],[2.357938200002536],['target'],4,0,4,0,7.1874556,,5,7.1761258,7.1874556,7.1874556,0.0243987,9.5341054,[np.float64(0.10462962962962963)],[np.float64(-0.4351851851851852)],[1],[0],[0],[2.357938200002536],['target'],610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
5,0,5,[np.float64(-0.22685185185185186)],[np.float64(0.16944444444444445)],[1],[0],[0],[1.7144826000003377],['target'],5,0,5,0,9.5626522,,10,9.5523677,9.5626522,9.5626522,0.0181966,11.266926,[np.float64(-0.22685185185185186)],[np.float64(0.16944444444444445)],[1],[0],[0],[1.7144826000003377],['target'],610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
6,0,6,[np.float64(-0.27685185185185185)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.157374600006733],['target'],6,0,6,0,11.2845538,,5,11.2782264,11.2845538,11.2845538,0.0111416,12.4356455,[np.float64(-0.27685185185185185)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.157374600006733],['target'],610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
7,0,7,[np.float64(0.4009259259259259)],[np.float64(-0.21296296296296297)],[1],[0],[0],[1.831056000009994],['target'],7,0,7,0,12.4627523,,10,12.4541312,12.4627523,12.4627523,0.0184309,14.2852666,[np.float64(0.4009259259259259)],[np.float64(-0.21296296296296297)],[1],[0],[0],[1.831056000009994],['target'],610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
8,0,8,"[np.float64(0.462037037037037), np.float64(0.4675925925925926)]","[np.float64(0.3398148148148148), np.float64(0.3425925925925926)]","[1, 1]","[0, 0]","[0, 0]","[2.2838714999961667, 3.216711500004749]","[None, 'target']",8,0,8,0,14.3054617,,5,14.3000021,14.3054617,14.3054617,0.0145059,17.5168644,"[np.float64(0.462037037037037), np.float64(0.4675925925925926)]","[np.float64(0.3398148148148148), np.float64(0.3425925925925926)]","[1, 1]","[0, 0]","[0, 0]","[2.2838714999961667, 3.216711500004749]","[None, 'target']",610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
9,0,9,"[np.float64(-0.3990740740740741), np.float64(-0.39537037037037037)]","[np.float64(0.3), np.float64(0.2962962962962963)]","[1, 1]","[0, 0]","[0, 0]","[2.384588899993105, 3.280480000001262]","[None, 'target']",9,0,9,0,17.5468307,,5,17.5369788,17.5468307,17.5468307,0.0198355,20.8175449,"[np.float64(-0.3990740740740741), np.float64(-0.39537037037037037)]","[np.float64(0.3), np.float64(0.2962962962962963)]","[1, 1]","[0, 0]","[0, 0]","[2.384588899993105, 3.280480000001262]","[None, 'target']",610780,1,2025-10-02_04h14.26.182,untitled,,2025.1.1,60.1317125,2025-10-02 04h14.30.798480 +0530
